"Befolkningens højest fuldførte uddannelse (15-69 år) efter køn,"
"herkomst, bopælsområde, tid, alder og højest fuldførte uddannelse"

" ";" ";" ";" ";" ";"I alt";"H10 Grundskole";"H20 Gymnasiale uddannelser";"H30 Erhvervsfaglige uddannelser";"H40 Korte videregående uddannelser, KVU";"H50 Mellemlange videregående uddannelser, MVU";"H60 Bacheloruddannelser, BACH";"H70 Lange videregående uddannelser, LVU";"H80 Ph.d. og forskeruddannelser";"H90 Uoplyst mv."
"I alt"
" ";"I alt"
" ";" ";"Hele landet"
" ";" ";" ";"2019"
" ";" ";" ";" ";"Alder i alt";4040015;1002324;436907;1175219;205673;615267;96150;419094;37792;48008
" ";" ";" ";" ";"25-29 år";399766;61703;54755;89828;22173;72898;31450;63129;766;2566
" ";" ";" ";" ";"30-34 år";356645;53678;22719;93256;20089;72195;9817;75281;5407;3793
" ";" ";" ";" ";"35-39 år";329704;49383;17300;98698;20382;64166;7071;60821;7683;3884
" ";" ";" ";" ";"40-44 år";366721;53517;19203;123882;25426;69800;7708;55223;6926;4751
" ";" ";" ";" ";"45-49 år";391815;63914;21847;142036;27727;70978;6667;47428;5841;5059
" ";" ";" ";" ";"50-54 år";414671;73870;23867;168381;25352;69322;4791;38431;4445;5885
" ";" ";" ";" ";"55-59 år";385674;80215;20407;157021;20778;63464;3555;28887;3371;7660
" ";" ";" ";" ";"60-64 år";343995;86428;14216;128748;16695;59298;2265;24608;2108;9306
" ";" ";" ";" ";"65-69 år";319431;80468;10268;129916;12581;58256;1881;21707;1193;2805

"Befolkningen mellem 15 og 69 år og deres højest fuldført uddannelse "
"er opgjort pr. 30. sep. det pågældende år. HFUDD11 erstatter HFUDD10 "
"som er lukket. For dokumentation af tabellerne se: "
"http://dst.dk/ext/uddannelse/Uddannelsestabeller. Uddannelserne "
"grupperes efter Disced-15. Læs mere på "
"www.dst.dk/da/Statistik/dokumentation/nomenklaturer/disced-15--hovedo-"
"mraade--fuldfoerte-uddannelser. "

